condition,method,n,reference_value,relative_error,scan_type,speed_m_s,value
2,quad_impact,90,1.9722308408466937e-21,0.00023363246426132196,dphires,200000.0,1.972691617998133e-21
2,quad_impact,180,1.9722308408466937e-21,5.840900486839921e-05,dphires,200000.0,1.9723460368874783e-21
2,quad_impact,360,1.9722308408466937e-21,1.4602416201857304e-05,dphires,200000.0,1.972259640182278e-21
2,quad_impact,720,1.9722308408466937e-21,3.6506182145861786e-06,dphires,200000.0,1.9722380407085246e-21
2,quad_impact,1440,1.9722308408466937e-21,9.126553900332791e-07,dphires,200000.0,1.972232640813801e-21
2,quad_impact,2880,1.9722308408466937e-21,2.2816388331736358e-07,dphires,200000.0,1.972231290838541e-21
2,quad_angle,45,1.9722308408466937e-21,0.0026512893193995353,rhores,200000.0,1.977459795410421e-21
2,quad_angle,90,1.9722308408466937e-21,0.0006714533801044695,rhores,200000.0,1.9735551019111264e-21
2,quad_angle,180,1.9722308408466937e-21,0.0001684099991586462,rhores,200000.0,1.9725629842409413e-21
2,quad_angle,360,1.9722308408466937e-21,4.2136769484888444e-05,rhores,200000.0,1.9723139442830054e-21
2,quad_angle,720,1.9722308408466937e-21,1.0536325156584451e-05,rhores,200000.0,1.9722516209121167e-21
2,quad_angle,1440,1.9722308408466937e-21,2.6342035212430236e-06,rhores,200000.0,1.9722360361041193e-21
2,quad_angle,2880,1.9722308408466937e-21,6.585478577127578e-07,rhores,200000.0,1.9722321396550888e-21
2,vectorized,45,1.9722308408466937e-21,0.0035864579655206304,vectorized,200000.0,1.9793041638556937e-21
2,vectorized,90,1.9722308408466937e-21,0.0009050950554598548,vectorized,200000.0,1.9740158972289694e-21
2,vectorized,180,1.9722308408466937e-21,0.00022681916324788194,vectorized,200000.0,1.972678180595746e-21
2,vectorized,360,1.9722308408466937e-21,5.673920283045661e-05,vectorized,200000.0,1.972342743652401e-21
2,vectorized,720,1.9722308408466937e-21,1.4186958737684836e-05,vectorized,200000.0,1.972258820804254e-21
2,vectorized,1440,1.9722308408466937e-21,3.5468746716423093e-06,vectorized,200000.0,1.9722378361023097e-21
2,vectorized,2880,1.9722308408466937e-21,8.867270344957857e-07,vectorized,200000.0,1.9722325896770985e-21
3,quad_impact,45,2.7126265414711593e-21,2.0107057512079586e-14,dphires,100.0,2.7126265414712138e-21
3,quad_impact,90,2.7126265414711593e-21,1.3450928128770482e-14,dphires,100.0,2.7126265414711957e-21
3,quad_impact,180,2.7126265414711593e-21,2.579250136032278e-14,dphires,100.0,2.7126265414712292e-21
3,quad_impact,360,2.7126265414711593e-21,9.290847264202292e-15,dphires,100.0,2.7126265414711845e-21
3,quad_impact,720,2.7126265414711593e-21,1.6085646009663668e-14,dphires,100.0,2.712626541471203e-21
3,quad_impact,1440,2.7126265414711593e-21,4.0047711789576444e-13,dphires,100.0,2.712626541470073e-21
3,quad_impact,2880,2.7126265414711593e-21,8.458831091288653e-15,dphires,100.0,2.7126265414711363e-21
3,quad_angle,45,2.7126265414711593e-21,0.04877042619295017,rhores,100.0,2.844922494001016e-21
3,quad_angle,90,2.7126265414711593e-21,0.013495263044457518,rhores,100.0,2.7492341501896896e-21
3,quad_angle,180,2.7126265414711593e-21,0.0034612372614804907,rhores,100.0,2.72201558553298e-21
3,quad_angle,360,2.7126265414711593e-21,0.0008708734973630299,rhores,100.0,2.71498889603437e-21
3,quad_angle,720,2.7126265414711593e-21,0.0002180677305384682,rhores,100.0,2.7132180777848563e-21
3,quad_angle,1440,2.7126265414711593e-21,5.453879248773902e-05,rhores,100.0,2.7127744848472013e-21
3,quad_angle,2880,2.7126265414711593e-21,1.3636064814719497e-05,rhores,100.0,2.712663531022497e-21
3,vectorized,45,2.7126265414711593e-21,0.04877042619292535,vectorized,100.0,2.8449224940009488e-21
3,vectorized,90,2.7126265414711593e-21,0.013495263044533369,vectorized,100.0,2.7492341501898954e-21
3,vectorized,180,2.7126265414711593e-21,0.003461237261461493,vectorized,100.0,2.7220155855329287e-21
3,vectorized,360,2.7126265414711593e-21,0.0008708734973107515,vectorized,100.0,2.7149888960342282e-21
3,vectorized,720,2.7126265414711593e-21,0.0002180677305596846,vectorized,100.0,2.713218077784914e-21
3,vectorized,1440,2.7126265414711593e-21,5.453879232799191e-05,vectorized,100.0,2.712774484846768e-21
3,vectorized,2880,2.7126265414711593e-21,1.363606483149849e-05,vectorized,100.0,2.7126635310225424e-21
3,quad_impact,45,2.664744058039367e-21,6.041663860920751e-10,dphires,10000.0,2.664744059649316e-21
3,quad_impact,90,2.664744058039367e-21,1.5090671709562196e-10,dphires,10000.0,2.664744058441495e-21
3,quad_impact,180,2.664744058039367e-21,3.7677731663806226e-11,dphires,10000.0,2.6647440581397686e-21
3,quad_impact,360,2.664744058039367e-21,9.301669271466161e-12,dphires,10000.0,2.6647440580641537e-21
3,quad_impact,720,2.664744058039367e-21,2.3564021784773215e-12,dphires,10000.0,2.6647440580456463e-21
3,quad_impact,1440,2.664744058039367e-21,9.26722596399905e-13,dphires,10000.0,2.6647440580418366e-21
3,quad_impact,2880,2.664744058039367e-21,1.2055157613488483e-13,dphires,10000.0,2.6647440580396884e-21
3,quad_angle,45,2.664744058039367e-21,0.047586791541367406,rhores,10000.0,2.791550678040384e-21
3,quad_angle,90,2.664744058039367e-21,0.013065370319148721,rhores,10000.0,2.6995599259634026e-21
3,quad_angle,180,2.664744058039367e-21,0.003343774553004125,rhores,10000.0,2.673654361410908e-21
3,quad_angle,360,2.664744058039367e-21,0.0008408544340967758,rhores,10000.0,2.6669847198963026e-21
3,quad_angle,720,2.664744058039367e-21,0.00021052165760187196,rhores,10000.0,2.6653050443755503e-21
3,quad_angle,1440,2.664744058039367e-21,5.264968491579313e-05,rhores,10000.0,2.664884355974404e-21
3,quad_angle,2880,2.664744058039367e-21,1.3163625763922334e-05,rhores,10000.0,2.6647791357329038e-21
3,vectorized,45,2.664744058039367e-21,0.04758679218695173,vectorized,10000.0,2.791550679760701e-21
3,vectorized,90,2.664744058039367e-21,0.013065370471149296,vectorized,10000.0,2.6995599263684452e-21
3,vectorized,180,2.664744058039367e-21,0.00334377459075639,vectorized,10000.0,2.6736543615115082e-21
3,vectorized,360,2.664744058039367e-21,0.0008408544434951404,vectorized,10000.0,2.6669847199213468e-21
3,vectorized,720,2.664744058039367e-21,0.0002105216599363942,vectorized,10000.0,2.6653050443817712e-21
3,vectorized,1440,2.664744058039367e-21,5.2649685579956084e-05,vectorized,10000.0,2.664884355976174e-21
3,vectorized,2880,2.664744058039367e-21,1.316362591270613e-05,vectorized,10000.0,2.6647791357333003e-21
3,quad_impact,45,2.032778437421031e-22,2.9901042390484102e-05,dphires,200000.0,2.0328392196152587e-22
3,quad_impact,90,2.032778437421031e-22,7.476880373821742e-06,dphires,200000.0,2.032793636262234e-22
3,quad_impact,180,2.032778437421031e-22,1.8693217075425728e-06,dphires,200000.0,2.0327822373378906e-22
3,quad_impact,360,2.032778437421031e-22,4.6733682101705507e-07,dphires,200000.0,2.0327793874132437e-22
3,quad_impact,720,2.032778437421031e-22,1.1683455730490913e-07,dphires,200000.0,2.0327786749197998e-22
3,quad_impact,1440,2.032778437421031e-22,2.9208664770097844e-08,dphires,200000.0,2.0327784967957749e-22
3,quad_impact,2880,2.032778437421031e-22,7.302221879904797e-09,dphires,200000.0,2.0327784522648301e-22
3,quad_angle,45,2.032778437421031e-22,0.005388004364641572,rhores,200000.0,2.0437310565142047e-22
