base_dphires,base_rhores,base_vres,bmax_over_aH,condition,density_g_cc,dphires,force_n,relative_error_vs_largest_bmax,resolution_scale_factor,resolution_scale_per_decade,resolution_scale_reference_bmax_over_aH,rhores,temperature_K,velocity_cm_s,velocity_index,velocity_m_s,vres
360,360,101,1.0,1,1.0,540,9.878801435694377e-10,0.3354082128744579,1.5,1.5,0.1,540,5000.0,630957.344480193,4,6309.57344480193,152
360,360,101,1.0,1,1.0,540,1.7435310142870596e-09,0.29280878736914295,1.5,1.5,0.1,540,5000.0,1000000.0,5,10000.0,152
360,360,101,1.0,1,1.0,540,3.2474082780743213e-09,0.2219070772557373,1.5,1.5,0.1,540,5000.0,1584893.1924611141,6,15848.93192461114,152
360,360,101,1.0,1,1.0,540,6.023127025140027e-09,0.13753812718758138,1.5,1.5,0.1,540,5000.0,2511886.4315095823,7,25118.864315095823,152
360,360,101,1.0,1,1.0,540,1.0265585940326217e-08,0.07149614366980987,1.5,1.5,0.1,540,5000.0,3981071.705534969,8,39810.71705534969,152
360,360,101,1.0,1,1.0,540,1.5465657969348056e-08,0.034786701354539144,1.5,1.5,0.1,540,5000.0,6309573.444801929,9,63095.73444801929,152
360,360,101,1.0,1,1.0,540,2.0237354335889845e-08,0.017293911548471545,1.5,1.5,0.1,540,5000.0,10000000.0,10,100000.0,152
360,360,101,1.0,1,1.0,540,2.2434178612848204e-08,0.009100727297355277,1.5,1.5,0.1,540,5000.0,15848931.924611142,11,158489.3192461114,152
360,360,101,1.0,1,1.0,540,2.0489173126672508e-08,0.005084844016452277,1.5,1.5,0.1,540,5000.0,25118864.315095823,12,251188.64315095823,152
360,360,101,1.0,1,1.0,540,1.5281755040682756e-08,0.0030119682778073386,1.5,1.5,0.1,540,5000.0,39810717.05534969,13,398107.1705534969,152
360,360,101,1.0,1,1.0,540,9.560508453632726e-09,0.001915217736769965,1.5,1.5,0.1,540,5000.0,63095734.44801943,14,630957.3444801943,152
360,360,101,1.0,1,1.0,540,5.2705324226750235e-09,0.001326605197802854,1.5,1.5,0.1,540,5000.0,100000000.0,15,1000000.0,152
360,360,101,10.0,1,1.0,810,2.2644654309990295e-10,4.475774973477951e-06,2.25,1.5,0.1,810,5000.0,100000.0,0,1000.0,228
360,360,101,10.0,1,1.0,810,3.5951060790136897e-10,7.387946601204726e-06,2.25,1.5,0.1,810,5000.0,158489.3192461114,1,1584.893192461114,228
360,360,101,10.0,1,1.0,810,5.722347282806627e-10,5.100019137257666e-06,2.25,1.5,0.1,810,5000.0,251188.6431509582,2,2511.886431509582,228
360,360,101,10.0,1,1.0,810,9.163177409018181e-10,5.998833133126033e-06,2.25,1.5,0.1,810,5000.0,398107.1705534969,3,3981.071705534969,228
360,360,101,10.0,1,1.0,810,1.4864534120663061e-09,4.642298560600089e-06,2.25,1.5,0.1,810,5000.0,630957.344480193,4,6309.57344480193,228
360,360,101,10.0,1,1.0,810,2.465430796477854e-09,1.1280800962143824e-08,2.25,1.5,0.1,810,5000.0,1000000.0,5,10000.0,228
360,360,101,10.0,1,1.0,810,4.173548059248312e-09,2.1691192059390834e-08,2.25,1.5,0.1,810,5000.0,1584893.1924611141,6,15848.93192461114,228
360,360,101,10.0,1,1.0,810,6.98364600793079e-09,2.3076367595020267e-07,2.25,1.5,0.1,810,5000.0,2511886.4315095823,7,25118.864315095823,228
360,360,101,10.0,1,1.0,810,1.1056054202189649e-08,2.9440136126528463e-07,2.25,1.5,0.1,810,5000.0,3981071.705534969,8,39810.71705534969,228
360,360,101,10.0,1,1.0,810,1.6023052485478076e-08,3.4751380113552516e-07,2.25,1.5,0.1,810,5000.0,6309573.444801929,9,63095.73444801929,228
360,360,101,10.0,1,1.0,810,2.0593505293709316e-08,4.298386507364943e-07,2.25,1.5,0.1,810,5000.0,10000000.0,10,100000.0,228
360,360,101,10.0,1,1.0,810,2.2640233910843696e-08,5.662442466341277e-07,2.25,1.5,0.1,810,5000.0,15848931.924611142,11,158489.3192461114,228
360,360,101,10.0,1,1.0,810,2.0593906480542016e-08,8.078279413166787e-07,2.25,1.5,0.1,810,5000.0,25118864.315095823,12,251188.64315095823,228
360,360,101,10.0,1,1.0,810,1.5327941320370437e-08,1.2437489399682156e-06,2.25,1.5,0.1,810,5000.0,39810717.05534969,13,398107.1705534969,228
360,360,101,10.0,1,1.0,810,9.578872706028443e-09,1.9481694890884552e-06,2.25,1.5,0.1,810,5000.0,63095734.44801943,14,630957.3444801943,228
360,360,101,10.0,1,1.0,810,5.2775466800724485e-09,2.4734768612015993e-06,2.25,1.5,0.1,810,5000.0,100000000.0,15,1000000.0,228
360,360,101,100.0,1,1.0,1215,2.2644162380061504e-10,1.7248210026431015e-05,3.375,1.5,0.1,1215,5000.0,100000.0,0,1000.0,341
360,360,101,100.0,1,1.0,1215,3.595118781206079e-10,3.854782831652699e-06,3.375,1.5,0.1,1215,5000.0,158489.3192461114,1,1584.893192461114,341
360,360,101,100.0,1,1.0,1215,5.72236677892917e-10,8.507051428447753e-06,3.375,1.5,0.1,1215,5000.0,251188.6431509582,2,2511.886431509582,341
360,360,101,100.0,1,1.0,1215,9.163205395794163e-10,2.944586025945577e-06,3.375,1.5,0.1,1215,5000.0,398107.1705534969,3,3981.071705534969,341
360,360,101,100.0,1,1.0,1215,1.4864520956619586e-09,3.756693638199168e-06,3.375,1.5,0.1,1215,5000.0,630957.344480193,4,6309.57344480193,341
360,360,101,100.0,1,1.0,1215,2.4654356428830356e-09,1.9544629278726218e-06,3.375,1.5,0.1,1215,5000.0,1000000.0,5,10000.0,341
360,360,101,100.0,1,1.0,1215,4.173546118864879e-09,4.866153678695537e-07,3.375,1.5,0.1,1215,5000.0,1584893.1924611141,6,15848.93192461114,341
360,360,101,100.0,1,1.0,1215,6.9836451926564494e-09,1.1402314708291459e-07,3.375,1.5,0.1,1215,5000.0,2511886.4315095823,7,25118.864315095823,341
360,360,101,100.0,1,1.0,1215,1.1056052480304955e-08,1.3865997571952756e-07,3.375,1.5,0.1,1215,5000.0,3981071.705534969,8,39810.71705534969,341
360,360,101,100.0,1,1.0,1215,1.602304946913756e-08,1.5926368036985656e-07,3.375,1.5,0.1,1215,5000.0,6309573.444801929,9,63095.73444801929,341
360,360,101,100.0,1,1.0,1215,2.0593500385779225e-08,1.9151437661586036e-07,3.375,1.5,0.1,1215,5000.0,10000000.0,10,100000.0,341
360,360,101,100.0,1,1.0,1215,2.2640226625407662e-08,2.4445251128874575e-07,3.375,1.5,0.1,1215,5000.0,15848931.924611142,11,158489.3192461114,341
360,360,101,100.0,1,1.0,1215,2.059389671701339e-08,3.337296188977556e-07,3.375,1.5,0.1,1215,5000.0,25118864.315095823,12,251188.64315095823,341
360,360,101,100.0,1,1.0,1215,1.5327929474554865e-08,4.70923023027404e-07,3.375,1.5,0.1,1215,5000.0,39810717.05534969,13,398107.1705534969,341
360,360,101,100.0,1,1.0,1215,9.578859444834247e-09,5.63745618175041e-07,3.375,1.5,0.1,1215,5000.0,63095734.44801943,14,630957.3444801943,341
360,360,101,100.0,1,1.0,1215,5.277532618268954e-09,1.9098811250812487e-07,3.375,1.5,0.1,1215,5000.0,100000000.0,15,1000000.0,341
360,360,101,1000.0,1,1.0,1823,2.2644515434814045e-10,1.657054255119987e-06,5.0625,1.5,0.1,1823,5000.0,100000.0,0,1000.0,512
360,360,101,1000.0,1,1.0,1823,3.595152500341754e-10,5.52432471584901e-06,5.0625,1.5,0.1,1823,5000.0,158489.3192461114,1,1584.893192461114,512
360,360,101,1000.0,1,1.0,1823,5.722359708103533e-10,7.271393865379814e-06,5.0625,1.5,0.1,1823,5000.0,251188.6431509582,2,2511.886431509582,512
360,360,101,1000.0,1,1.0,1823,9.163195122837429e-10,4.065692237262222e-06,5.0625,1.5,0.1,1823,5000.0,398107.1705534969,3,3981.071705534969,512
360,360,101,1000.0,1,1.0,1823,1.4864470772393461e-09,3.805730892551238e-07,5.0625,1.5,0.1,1823,5000.0,630957.344480193,4,6309.57344480193,512
360,360,101,1000.0,1,1.0,1823,2.4654306924222084e-09,5.348666796800065e-08,5.0625,1.5,0.1,1823,5000.0,1000000.0,5,10000.0,512
360,360,101,1000.0,1,1.0,1823,4.173550327172399e-09,5.217131260486108e-07,5.0625,1.5,0.1,1823,5000.0,1584893.1924611141,6,15848.93192461114,512
360,360,101,1000.0,1,1.0,1823,6.983644670616724e-09,3.92713848433631e-08,5.0625,1.5,0.1,1823,5000.0,2511886.4315095823,7,25118.864315095823,512
360,360,101,1000.0,1,1.0,1823,1.1056051417114104e-08,4.249626799627888e-08,5.0625,1.5,0.1,1823,5000.0,3981071.705534969,8,39810.71705534969,512
