dphires,force_n,relative_error,rhomax_fraction,rhores,test_type,test_value,velocity_cm_s,velocity_index,vres
300,9.553813957103446e-14,7.319937736491917e-05,1.0,300,rhores,300.0,1584893.1924611141,6,100
300,4.1846622077126466e-14,4.4568400458616846e-05,1.0,300,rhores,300.0,2511886.4315095823,7,100
300,1.7657077845778927e-14,3.429118750514564e-05,1.0,300,rhores,300.0,3981071.705534969,8,100
300,7.782995875621651e-15,2.931180969285692e-05,1.0,300,rhores,300.0,6309573.444801929,9,100
300,3.4503546205882257e-15,2.5802644633352345e-05,1.0,300,rhores,300.0,10000000.0,10,100
300,1.522989942022865e-15,2.3093793334690805e-05,1.0,300,rhores,300.0,15848931.924611142,11,100
300,6.6782972534031e-16,2.0903530265631924e-05,1.0,300,rhores,300.0,25118864.315095823,12,100
300,2.9109294987395903e-16,1.9069798008008313e-05,1.0,300,rhores,300.0,39810717.05534969,13,100
300,1.264277789162119e-16,1.7473135041139245e-05,1.0,300,rhores,300.0,63095734.44801943,14,100
300,5.499621929365818e-17,1.5998884627597546e-05,1.0,300,rhores,300.0,100000000.0,15,100
300,2.6596192602175242e-14,0.0,1.0,1000,rhores,1000.0,100000.0,0,100
300,4.17047781763936e-14,0.0,1.0,1000,rhores,1000.0,158489.3192461114,1,100
300,6.435530107374029e-14,0.0,1.0,1000,rhores,1000.0,251188.6431509582,2,100
300,9.542677879764208e-14,0.0,1.0,1000,rhores,1000.0,398107.1705534969,3,100
300,1.2839294776378427e-13,0.0,1.0,1000,rhores,1000.0,630957.344480193,4,100
300,1.3793395824680467e-13,0.0,1.0,1000,rhores,1000.0,1000000.0,5,100
300,9.553114675057336e-14,0.0,1.0,1000,rhores,1000.0,1584893.1924611141,6,100
300,4.1844757123233904e-14,0.0,1.0,1000,rhores,1000.0,2511886.4315095823,7,100
300,1.7656472384373715e-14,0.0,1.0,1000,rhores,1000.0,3981071.705534969,8,100
300,7.78276774861452e-15,0.0,1.0,1000,rhores,1000.0,6309573.444801929,9,100
