at_lower_bound,at_upper_bound,best_bmax_over_aH,best_bmax_over_debye_length,condition,converged,data_acceleration_cm_s2,data_acceleration_sigma_cm_s2,log_residual,method,model_acceleration_cm_s2,resolution_rhores_dphires,source,velocity_cm_s,vres
False,False,0.5236188845814718,0.20685094551488692,0,True,152376173669788.94,236970158790.09952,2.8350655156827997e-12,vectorized,152376173670220.75,360,"theory\dataprocessing\output_dais\results.npy[0,5,10]",1691642.3402071882,101
False,False,0.5459885703870586,0.2156878893227007,0,True,153411360919823.88,238571311112.37448,2.7711166694643907e-13,vectorized,153411360919866.3,360,"theory\dataprocessing\output_dais\results.npy[0,5,0]",1703134.7313076276,101
False,False,0.9260658932801167,0.3658340279059881,0,True,68048825653559.77,350677384060.1079,1.950439809661475e-12,vectorized,68048825653692.54,360,"theory\dataprocessing\output_dais\results.npy[0,6,10]",2901975.9097277103,101
False,False,0.9400997022925095,0.37137795832726983,0,True,68112838810117.19,351006973515.2682,3.225864020350855e-12,vectorized,68112838810337.09,360,"theory\dataprocessing\output_dais\results.npy[0,6,0]",2904705.782527881,101
False,False,13780.753689790072,5443.963185016323,0,True,43449323849904.055,1039736306518.58,2.8315128020039992e-12,vectorized,43449323850027.05,360,"theory\dataprocessing\output_dais\results.npy[0,7,10]",5104485.154396271,101
False,False,13786.972279976748,5446.419783312833,0,True,43457986159282.19,1039943553297.6494,-7.176481631177012e-13,vectorized,43457986159250.86,360,"theory\dataprocessing\output_dais\results.npy[0,7,0]",5105502.814182559,101
False,False,1.475261921953498,nan,1,True,1.0582086195662014e+17,506732725632468.7,0.0,vectorized,1.0582086195662032e+17,360,"theory\dataprocessing\output\results.npy[1,20,18]",15846.525312417943,101
False,False,1.4749804755472662,nan,1,True,1.9771602703870742e+17,727489728961891.2,0.0,vectorized,1.9771602703870736e+17,360,"theory\dataprocessing\output\results.npy[1,20,8]",29607.697094963805,101
False,False,1.4742272167481187,nan,1,True,3.2600055489448384e+17,1077596277161161.0,7.105427357601002e-15,vectorized,3.260005548944849e+17,360,"theory\dataprocessing\output\results.npy[1,20,0]",48818.12479580309,101
False,False,1.5808472670171454,nan,1,True,1.0126692183652407e+18,2573711225449304.5,2.1316282072803006e-14,vectorized,1.0126692183652573e+18,360,"theory\dataprocessing\output\results.npy[1,26,3]",136545.39682381134,101
